Extension	File type description
exf	Exchangeable Image File Format
exif	Fuji EXIF format Bitmap graphics
exr	OpenEXR Image Format
ezp	MegaView image file
fac	UNIX FaceSaver bitmap image
face	UNIX FaceSaver bitmap image file
fal	Bitmap graphics image header information Q0
fbm	Fuzzy bitmap image file
ff0	RISC OS TIFF bitmap image file
ff9	Acorn RISC OS sprite file
fff	Maggi Hairstyles & Cosmetics image file
fff	Hasselblad Camera RAW file format
fido	Kodak Cineon image format
fif	Fractal Image Format file
fil	Symbian application logo file
flo	Florian file
fp	Vinal Page Vector TIFF image
fpw	FloorPLAN plus for Windows drawing
fpx	Kodak FlashPiX bitmap image
frf	Ginga X-Ray first reduction file
frm	Corel Painter frame stack file
ftk	Formtek Raster file
g00	Clannad picture image file
g3p	Casio Prizm picture image file
g8	Cubicomp PictureMaker green channel image data file
gar	Google avatar file
gbm	MapServer bitmap store file
gel	Molecular Dynamics image file
gfb	GIFBlast compressed GIF image file
gg	Koala Paint compressed image format
gif	Graphics interchange file format
gif87	Gif87 file
gif89a	Gif 89a image file
giff	CompuServe bitmap image (Graphics Interchange Format)
gif_	Graphics Interchange Format - Mac File Type
gis	Erdas gray-scale bitmap image
glv	2d Graphic file
gm	Autologic bitmap image
gm2	Autologic bitmap image
gm4	Autologic bitmap image
gmbck	Game Maker background image file
go	GraphOn bitmap image
goo	Kai's Power Goo picture file
gpd	Graphic PhotoDefiner image file
graf	Digital F/X image format
gray	Raw gray samples bitmap image
grb	HP-48 GROB bitmap image file
gro	HP-48/49 grob graphic image format
grob	Graphic Object Bitmap file
gx1	Show Partner Screen Capture File
ham	Amiga hold and modify image
hc	High Resolution Cantone TIFF bitmap
hdp	HD Photo
her	Graphic bitmap file
himg	Toast 3 image file
hips	Bitmap image
hmr	GeoTIFF bitmap file
hpe	Canon JPEG file
hpi	Hemera Photo Image format
hrf	Hitachi CADCore raster format file
hsi	Handmade Software bitmap image
hsi	HSI JPEG bitmap file
hta	Hemera thumbs image file
i17	Pixel PowerCollage image file
iax	IBM Image Access eXecutive bitmap file
ic1	Atari Image file
ic2	Atari Image file
ic3	Atari Image file
ic?	2d Graphic file
icb	Truevision Targa format
ico	Icon file
icon	Icon image file
ico_	Icon file
icr	NCSA Telnet Interactive color raster graphic file
id	AOL Instant Messenger buddy icon
idc	Core Software tech IDC file
idrw	Claris Impact drawing file
ief	Bitmap Image Exchange file
iefs	Bitmap Image Exchange file
iff	Amiga Interchange File format
iff	DESR VFF greyscale bitmap image
iff	Autodesk Maya image format
ige	Erdas imagine Large Raster Spill file
iiq	Hasselblad P30+ digital camera TIFF file
ilbm	Interleaved bitmap file
ill	2d Graphic
ill	Agati illustrated image file
im	Sun raster grey bitmap graphics file
im1	Sun Raster File
im24	24bit Sun raster file
im32	Sun 32bit raster file
im?	2d Graphic
image	UNIX bitmap file
img	Bitmap picture file
imj	Pegasus Image Corp format bitmap graphics
imq	NASA planetary image
ingr	Intergraph Raster File Format
ink	InkML image file
int	Silicon Graphics Image File Format
inta	Silicon Graphics image file
ioca	IBM Image Object Content Architecture (IOCA) bitmap graphics file
ipg	Mindjongg Format image format
ipx	Ipix spherical panorama file
isf	InfoNet snapshot file
ism	Image System (Multicolor) image format
